,infection_fraction,n_episodes,mean_episode_duration,degree,betweenness,eigenvector,clustering
AXP,0.0779324055666004,21.0,9.333333333333334,10,0.0,0.26958327011903377,1.0
BAC,0.062027833001988074,22.0,7.090909090909091,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
BK,0.08667992047713717,26.0,8.384615384615385,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
BLK,0.08588469184890656,19.0,11.368421052631579,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
C,0.06998011928429423,18.0,9.777777777777779,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
GS,0.07117296222664016,22.0,8.136363636363637,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
JPM,0.06003976143141153,28.0,5.392857142857143,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
MS,0.052485089463220676,20.0,6.6,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
PNC,0.09582504970178926,33.0,7.303030303030303,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
SCHW,0.09025844930417495,20.0,11.35,10,0.0,0.26958327011903377,1.0
USB,0.08628230616302186,39.0,5.564102564102564,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
WFC,0.09542743538767395,36.0,6.666666666666667,11,0.0018181818181818182,0.2923439277535718,0.9818181818181818
